"Ticket ID","Subject","Full_Ticket_Text","Issue Type","Assigned Team","Severity"
236,"Malfunctioning web camera focus","My external USB web camera is unable to focus on my face. The image is constantly blurry, even in good lighting.","Hardware","Desktop Support","Low"
237,"Request for manager approval bypass on expense software","The expense reporting software is requiring manager approval for a small, pre-approved item. Can this specific entry be force-approved by the admin?","Account/Access","Security & Access","Low"
238,"IP address conflict detected","A network monitoring alert shows an IP address conflict between my workstation and an unknown device. Both are losing connectivity intermittently.","Network","Networking","Medium"
239,"Stored procedure timeout issue","A stored procedure called by the application is timing out under heavy load, causing the application to return an error to the user. Needs optimization.","Database","Database Ops","Medium"
240,"Windows Defender blocking necessary file","Windows Defender quarantined a file that is critical for our custom application to run. Need to whitelist the file path for all users.","Software","Application Support","Medium"
241,"Missing power cable for monitor","I received a new monitor but the box was missing the power cable. I cannot plug it in.","Hardware","Desktop Support","Low"
242,"Account deletion request for privacy compliance","User L. Johnson has requested their account and all associated personal data be permanently deleted in accordance with data privacy regulations.","Account/Access","Security & Access","Medium"
243,"External link failure to vendor site","We cannot establish a stable connection to our main external manufacturing partner's portal. Network traces show a point-to-point link failure.","Network","Networking","High"
244,"Database server showing high I/O wait times","The database server is showing extremely high I/O wait times, indicating a bottleneck at the storage level. All queries are slow.","Database","Database Ops","Critical"
245,"New software deployment stuck on 50%","The latest software deployment package for the 'Time Tracking App' is stuck at 50% installation on 50+ user workstations. Need to troubleshoot deployment failure.","Software","Application Support","Medium"
246,"Faulty CPU fan on server","The CPU fan on the main authentication server is failing and not spinning properly, leading to temperature warnings. Urgent hardware replacement needed.","Hardware","Desktop Support","Critical"
247,"Request to change email display name","I need my email display name changed from 'Chris A.' to 'Christopher Alan' for professional reasons.","Account/Access","Security & Access","Low"
248,"Sudden packet loss in executive office","Users in the executive office suite are reporting 40%+ packet loss to the internal network. Possible faulty switch or cable.","Network","Networking","High"
249,"Database server out of disk space","The main drive on the database server is completely out of disk space. All logs and write operations have failed. Critical outage.","Database","Database Ops","Critical"
250,"Web browser default homepage keeps reverting","My default homepage in Firefox keeps reverting to a search engine I did not set, even after manually changing it in settings. Possible malware or GPO conflict.","Software","Application Support","Medium"
251,"Broken power button on monitor","The physical power button on my monitor is stuck in the 'on' position. I cannot manually turn off the screen.","Hardware","Desktop Support","Low"
252,"Need to provision a new service account","I need a new non-expiring service account, `SVC_ReportGen`, to run nightly report generation jobs with appropriate database access.","Account/Access","Security & Access","Medium"
253,"High latency to internal file server","Accessing shared files on the internal file server is extremely slow, taking 10+ seconds to open a small document.","Network","Networking","Medium"
254,"Missing index on primary key","A primary key constraint exists on the table, but the associated clustered index is missing, leading to inefficient lookups. Need to rebuild the PK index.","Database","Database Ops","High"
255,"Slack desktop app unable to connect to voice calls","When starting a Huddle or voice call in Slack, the connection fails instantly. Text chat works fine.","Software","Application Support","Low"
256,"Damaged docking station power plug","The end of the docking station's power cord that plugs into the wall is frayed and exposed. Safety hazard, needs urgent replacement.","Hardware","Desktop Support","High"
257,"Need MFA temporary exemption","I am currently traveling overseas and my authenticator app is not working due to time zone issues. I need a temporary MFA exemption for 2 days.","Account/Access","Security & Access","High"
258,"Core network uplink link flapping","The main fiber uplink connecting the company to the ISP is constantly going down and coming back up. Major service instability.","Network","Networking","Critical"
259,"Database backup failing due to timeout","The database backup process for the largest database is consistently timing out before completion. Backup window needs to be extended or performance optimized.","Database","Database Ops","Medium"
260,"Visual Studio unable to connect to TFS","My Visual Studio IDE cannot connect to the Team Foundation Server (TFS) repository. Getting an authentication failure error.","Software","Application Support","Medium"
261,"Desktop PC won't recognize boot drive","My desktop powers on, but the BIOS is reporting no bootable device found. Likely a failed SATA drive or corrupted MBR.","Hardware","Desktop Support","High"
262,"Request to unlock user account for specific app","User M. Clark is locked out of the finance application (QuickBooks) after 3 failed login attempts. Please unlock the application-specific account.","Account/Access","Security & Access","Low"
263,"Unusual broadcast storm detected","Network monitoring is alerting on an extremely high volume of broadcast traffic, indicating a loop or misbehaving device on the network.","Network","Networking","Critical"
264,"Database mirroring session failed","The database mirroring session between the two main production servers has failed and is in a disconnected state. High availability is compromised.","Database","Database Ops","High"
265,"New version of software introducing bug","The latest update to our custom sales tracking software introduced a bug that prevents users from editing contact phone numbers.","Software","Application Support","High"
266,"Failing power brick for laptop","The external power brick for my laptop is no longer reliably providing power. The light on the brick flickers when plugged in.","Hardware","Desktop Support","Medium"
267,"Need to audit security group membership","Requesting a full audit of all users currently members of the 'Admin_Core_Services' security group for a quarterly compliance review.","Account/Access","Security & Access","Medium"
268,"Intermittent BGP session failure","The BGP session with our network provider fails briefly every few hours, causing traffic to reroute via the slower secondary link.","Network","Networking","High"
269,"DB connection pool timeout during deployment","During a new application deployment, the database connection pool is consistently timing out due to excessive database load from the deployment scripts.","Database","Database Ops","Medium"
270,"PDF file corrupted after editing","After making minor text changes in the default Windows PDF editor and saving, the file is now unreadable by all other applications.","Software","Application Support","Low"
271,"Monitor screen displaying wrong colors","My primary monitor is displaying colors with a heavy green tint. I have checked the graphics settings and cables with no change.","Hardware","Desktop Support","Low"
272,"Request for temporary access to a folder","I need read-only access to the `Legacy_Archive_2019` folder for three days to pull historical data for a financial report.","Account/Access","Security & Access","Low"
273,"Firewall blocking external API calls","A new security rule is blocking necessary outbound API calls to a critical payment processing service (Stripe). Urgent firewall rule review needed.","Network","Networking","Critical"
274,"Corruption detected in primary database files","The database engine logs are reporting corruption errors on the primary data file (MDF). Immediate recovery and data integrity checks are required.","Database","Database Ops","Critical"
275,"Printing not working for specific document type","I can print all emails and web pages, but I cannot print documents created in the proprietary 'Xylo' format. The printer queue shows an error.","Software","Application Support","Medium"
276,"Mouse laser stopped working","My optical mouse's red laser light is completely off, and the mouse is unresponsive. Tried changing the battery and using a different USB port.","Hardware","Desktop Support","Low"
277,"User requires access to specific shared mailbox","User P. Jones needs full access permissions to the 'Returns Processing' shared mailbox to manage customer returns.","Account/Access","Security & Access","Low"
278,"Wireless access point failure on 3rd floor","One of the main wireless access points on the 3rd floor is offline and not broadcasting the Wi-Fi signal. Users are reporting no connectivity.","Network","Networking","High"
279,"Disk space usage spike on database server","The database server's available disk space dropped from 50% to 5% in less than an hour. A large log file or dump must have been generated.","Database","Database Ops","High"
280,"Windows Media Player fails to open video files","Windows Media Player gives a codec error when attempting to open standard MP4 video files. This happened after the last system update.","Software","Application Support","Low"
281,"Faulty projector HDMI port","The HDMI port on the conference room projector is physically damaged and does not register a connection when a cable is inserted.","Hardware","Desktop Support","Medium"
282,"Need to provision a new user in three systems","New hire A. Adams needs accounts created and provisioned in Active Directory, SalesForce, and the internal Wiki system.","Account/Access","Security & Access","Low"
283,"Internal network speeds drastically reduced","All file transfers and network operations are running at extremely slow speeds (10Mbps) compared to the expected gigabit speed. Network congestion suspected.","Network","Networking","High"
284,"Database schema rollback failed","Attempted to roll back a recent schema change in the staging environment, but the script failed mid-way, leaving the schema in an inconsistent state.","Database","Database Ops","High"
285,"VPN client not connecting on new laptop","I received a new laptop, and the VPN client software will not connect. It gets stuck on 'Initializing connection...' and eventually times out.","Software","Application Support","Medium"
286,"Missing keyboard keycap","The 'T' keycap on my desktop keyboard popped off and is lost. I need a replacement keycap or a new keyboard.","Hardware","Desktop Support","Low"
287,"Security audit triggered for excessive login attempts","My corporate account has been flagged by the security system for an unusually high number of failed login attempts from an unknown geographic location.","Account/Access","Security & Access","High"
288,"Core switch fan failure","The main cooling fan on the core network switch is no longer working. The device is running hot and may trigger an automatic shutdown soon.","Network","Networking","Critical"
289,"Read-only user can modify data","A user provisioned as 'read-only' on the main customer table was somehow able to successfully execute an UPDATE statement. Immediate permission check needed.","Database","Database Ops","Critical"
290,"QuickBooks application freezing during payroll","The QuickBooks desktop application freezes and becomes unresponsive every time the user attempts to run the weekly payroll process.","Software","Application Support","High"
291,"Monitor connection dropping randomly","My main monitor disconnects and reconnects rapidly several times an hour. Suspect a loose cable or a faulty display port on the graphics card.","Hardware","Desktop Support","Medium"
292,"Request to deactivate unused service account","The `SVC_OldApp` service account has not been used for 6 months. Please deactivate it for security best practice.","Account/Access","Security & Access","Low"
293,"WAN link performance plummeting after hours","Every day after 7 PM, the WAN link utilization drops significantly, but the network performance gets worse, not better. Possible asymmetric routing issue.","Network","Networking","Medium"
294,"Database performance bottleneck in reporting period","The database becomes virtually unusable during the monthly reporting window (last 3 days of the month). Need performance tuning specifically for the reporting queries.","Database","Database Ops","Medium"
295,"Zoom client microphone muted by default","Every time I join a Zoom meeting, my microphone is muted by the application, even if I select 'unmute' in the settings before joining.","Software","Application Support","Low"
296,"Laptop touchpad unresponsive","The touchpad on my laptop suddenly stopped working entirely. The external mouse is working fine. I have checked for a hardware disable key.","Hardware","Desktop Support","Low"
297,"Need temporary access to production database","Requesting read-only access to the production database for 4 hours to troubleshoot a major application bug. Needs VP approval.","Account/Access","Security & Access","High"
298,"Multiple users reporting 'Destination Host Unreachable'","Five users in the same area are getting 'Destination Host Unreachable' when trying to access a specific internal server. Possible local switch failure.","Network","Networking","High"
299,"Database transaction log filling up rapidly","The transaction log file for the production database is filling up so quickly that it's causing the log drive to become full every few hours.","Database","Database Ops","Critical"
300,"Email archiving not working for user","The automatic 90-day email archiving policy is not running for user S. Miller. Her mailbox size is now critically large and affecting Outlook performance.","Software","Application Support","Medium"
301,"Projector bulb died in executive boardroom","The projector bulb in the executive boardroom went out during a critical presentation. Urgent replacement is needed.","Hardware","Desktop Support","Critical"
302,"Request to update user's security questions","User A. Johnson is unable to use the self-service password reset because he forgot the answers to his security questions. Need manual reset of questions.","Account/Access","Security & Access","Low"
303,"Switch VLAN configuration error","A core switch was recently configured with incorrect VLAN trunking settings, causing inter-VLAN routing to fail for two departments.","Network","Networking","High"
304,"Missing stored procedure after deployment","A critical stored procedure required by the invoicing application is missing from the production database after the last deployment. Application is down.","Database","Database Ops","Critical"
305,"Power Automate flow failing authentication","A critical Microsoft Power Automate flow that manages HR data is failing every hour with an authentication error to the SharePoint source.","Software","Application Support","Medium"
306,"Faulty monitor power adapter","The power adapter for my external monitor has stopped working. I've tried a different power outlet with no success.","Hardware","Desktop Support","Low"
307,"Need permission to access finance shared folder","I need read-only access to the `Finance_2023_Records` shared folder for end-of-year auditing. My current permissions are insufficient.","Account/Access","Security & Access","Low"
308,"High network jitter on VoIP VLAN","The network monitoring tool is reporting high jitter (over 50ms) on the dedicated VoIP VLAN, leading to poor voice quality.","Network","Networking","Medium"
309,"Database corruption in development environment","We've detected data corruption in the Development database. It needs to be restored from a clean backup of the Production database.","Database","Database Ops","Medium"
310,"Salesforce mobile app crashing on startup","The Salesforce mobile application crashes immediately after launching on all iOS devices. Android devices are unaffected.","Software","Application Support","High"
311,"Broken headphone jack on laptop","The physical headphone jack on my laptop is damaged, and audio output is distorted or cuts out when headphones are plugged in.","Hardware","Desktop Support","Medium"
312,"Request for group email creation","Need to create a new distribution list/group email address: `project-gamma-team@company.com` and add 10 members to it.","Account/Access","Security & Access","Low"
313,"Unscheduled link failure on secondary WAN","The secondary WAN link to the disaster recovery site went down without warning. Troubleshooting shows a fiber issue on the ISP side.","Network","Networking","High"
314,"Slow reporting due to missing view optimization","A crucial database view used for daily reporting is performing extremely poorly. Needs to be reviewed for optimization or rewritten as a materialized view.","Database","Database Ops","Medium"
315,"Microsoft Teams showing old user status","Microsoft Teams is incorrectly showing a user as 'Away' or 'Offline' when they are actively online and present. Status refresh is stuck.","Software","Application Support","Low"
316,"Ergonomic mouse not working with new drivers","My ergonomic mouse's extra buttons stopped functioning after a recent driver update on my Windows 11 machine.","Hardware","Desktop Support","Low"
317,"Expired account reactivation","User J. Doe's account expired due to an administrative oversight. Please reactivate the account and verify all permissions are intact.","Account/Access","Security & Access","Medium"
318,"Intermittent connectivity in data center racks","Two specific racks in Data Center 1 are experiencing random, brief connectivity drops. Suspect power issue or failing top-of-rack switch.","Network","Networking","High"
319,"High number of database write conflicts","The application is reporting a high volume of write conflict errors, suggesting issues with concurrency control or transaction isolation levels.","Database","Database Ops","High"
320,"Chrome browser cannot access internal tools","Google Chrome is unable to load any internal URLs (e.g., wiki, internal dashboards). Firefox and Edge work fine. Possible proxy or DNS setting in Chrome.","Software","Application Support","Medium"
321,"Server rack door sensor faulty","The physical door sensor on Server Rack C is reporting the door is open when it is securely closed. False alarms are flooding the monitoring system.","Hardware","Desktop Support","Medium"
322,"Bulk MFA device enrollment","Need to enroll 50 new mobile devices for MFA for a large group of new hires starting next week. Need to schedule mass enrollment session.","Account/Access","Security & Access","Low"
323,"Unusual inbound traffic volume on specific port","Network security is alerting on an extremely high volume of inbound traffic on a non-standard port (TCP 4567). Potential port scan or targeted attack.","Network","Networking","Critical"
324,"Database server maintenance failed to start","The automated monthly database maintenance job (index optimization, statistics update) failed to start on all servers last night.","Database","Database Ops","Medium"
325,"Custom sales application report export failing","When trying to export a large report from the custom sales application to PDF, the process fails with a generic error message. Smaller reports work.","Software","Application Support","Medium"
326,"Desktop PC overheating and shutting down","My desktop PC is randomly shutting down without warning. Logs show a critical temperature warning before shutdown. Likely a cooling issue.","Hardware","Desktop Support","High"
327,"Need to change service account password","The password for the `SVC_APICall_Prod` service account needs to be rotated immediately for security policy compliance. Affected applications need to be updated.","Account/Access","Security & Access","High"
328,"Loopback interface down on router","The loopback interface on the main distribution router is showing as administratively down, affecting several critical routing protocols.","Network","Networking","Critical"
329,"Database server failover latency too high","Testing showed that failover from the primary to the secondary database cluster takes over 5 minutes. This must be reduced for the RPO goal.","Database","Database Ops","High"
330,"External user cannot access SharePoint folder","An external partner user is unable to access a specific SharePoint folder despite being granted 'Edit' permissions. Access denied error persists.","Software","Application Support","Low"
331,"Cracked camera lens on laptop webcam","The physical lens cover on my integrated laptop webcam is cracked, causing the image to be distorted. Need to replace the screen assembly.","Hardware","Desktop Support","Medium"
332,"Need to revoke global administrator access","User T. Miller was mistakenly granted Global Administrator rights in Azure AD last week. This access needs to be immediately revoked and logged.","Account/Access","Security & Access","Critical"
333,"DNS server unresponsive","The primary internal DNS server (DNS-01) is unresponsive to all query requests. Users cannot resolve internal hostnames or access resources.","Network","Networking","Critical"
334,"Data loss reported on shared network drive","Multiple users are reporting that files saved yesterday on the `Project_X` shared network drive are now missing. Need immediate investigation for data loss.","Database","Database Ops","Critical"
335,"Adobe Illustrator license suddenly expired","My Adobe Illustrator license unexpectedly expired this morning, and the application is now in trial mode. I am a subscribed user.","Software","Application Support","Low"
336,"Faulty mechanical keyboard switch","One of the key switches on my mechanical keyboard is sticking and repeatedly typing the letter 'G' until I forcefully press it again.","Hardware","Desktop Support","Low"
337,"MFA application migration failed","I got a new phone and attempted to migrate my MFA tokens, but the process failed, leaving me with no tokens on the new device.","Account/Access","Security & Access","Medium"
338,"High number of dropped packets on switch","Switch SW-A02 is reporting an abnormally high number of dropped packets on all ports, suggesting a possible hardware defect on the switch itself.","Network","Networking","Medium"
339,"Database logs show high connection attempts","The database server logs are showing thousands of failed login attempts per minute from a single internal IP address. Security investigation needed.","Database","Database Ops","High"
340,"SAP application slow during transaction posting","The SAP application is taking an excessively long time (over 30 seconds) to post any financial transaction. This is a recent performance issue.","Software","Application Support","High"
341,"Headset connection keeps cutting out","My Bluetooth headset frequently disconnects and reconnects during calls, causing interruptions. I have tried re-pairing and rebooting my PC.","Hardware","Desktop Support","Low"
342,"Need to remove inactive user accounts","Requesting a script to identify and disable all user accounts that have been inactive for more than 180 days for security cleanup.","Account/Access","Security & Access","Medium"
343,"Link aggregation group failure","The LACP link aggregation group between the core switch and the main firewall has failed, causing a significant reduction in network throughput.","Network","Networking","High"
344,"ETL job failing due to source data formatting","The nightly ETL job is failing because the source CSV file from the vendor has changed its column format, causing the data import to crash.","Database","Database Ops","Medium"
345,"Power Automate flow failing due to permission change","A critical Power Automate flow that integrates between Teams and SharePoint suddenly started failing with a '401 Unauthorized' error.","Software","Application Support","Medium"
346,"Monitor power indicator light is out","The power indicator LED on my monitor is not lit, even though the monitor is receiving power and displaying an image. Minor issue, but concerning.","Hardware","Desktop Support","Low"
347,"User cannot access external email","User T. Johnson cannot send or receive emails from external domains (e.g., Gmail, Outlook). Internal email works fine. Likely an Exchange transport rule issue.","Account/Access","Security & Access","Medium"
348,"Network latency spike during large file transfers","Whenever a large file transfer starts on the network, the latency for all users spikes to an unusable level (500ms+). Network congestion needs investigation.","Network","Networking","High"
349,"Database server high temperature warning","The main production database server is reporting critical temperature warnings from its internal sensors. Urgent physical inspection and cooling check needed.","Database","Database Ops","Critical"
350,"Custom desktop application not launching","Our internal 'Procurement Tracker' application is failing to launch on all user desktops after the latest Windows security patch.","Software","Application Support","High"
351,"Cracked desktop microphone stand","The plastic stand for my desktop microphone is cracked and can no longer hold the microphone in position. Requesting a replacement stand or microphone.","Hardware","Desktop Support","Low"
352,"Request for temporary high-privilege account","I need a temporary administrative account to perform an emergency system repair. The account should be automatically disabled in 6 hours.","Account/Access","Security & Access","High"
353,"Inter-VLAN routing failure","Users on VLAN 10 can no longer communicate with users on VLAN 20. Inter-VLAN routing appears to be broken on the L3 switch.","Network","Networking","Medium"
354,"Data integrity issue in replicated cluster","The secondary database replica is reporting data integrity errors and is no longer consistent with the primary. Replication needs to be broken and rebuilt.","Database","Database Ops","High"
355,"Microsoft Edge print preview failure","When attempting to print from Microsoft Edge, the print preview window is blank, and clicking print sends an empty job to the printer.","Software","Application Support","Low"
356,"Laptop screen is dark/blank","My laptop screen is completely blank/black, even though the laptop is clearly powered on (fans spinning). Tried external monitor with no success.","Hardware","Desktop Support","Medium"
357,"Need to audit all accounts with RDP access","We require a full report of all Active Directory user accounts that currently have Remote Desktop Protocol (RDP) login rights to any server.","Account/Access","Security & Access","Medium"
358,"Firewall throughput degradation","The total throughput capacity of the main firewall device is significantly lower than its advertised rate, causing a general internet bottleneck.","Network","Networking","High"
359,"Slow inserts into high-volume table","Inserting new rows into the `Telemetry` table is taking an unacceptably long time due to inefficient indexing or trigger logic.","Database","Database Ops","Medium"
360,"Google Sheets not loading large files","Google Sheets hangs indefinitely when attempting to load a spreadsheet over 50MB. This file was previously loaded without issue.","Software","Application Support","Medium"
361,"Faulty projector remote battery issue","The projector remote drains new batteries within hours. Likely a short circuit in the remote unit itself.","Hardware","Desktop Support","Low"
362,"User unable to change password","User S. Taylor is unable to change her password via the self-service portal. The system returns a generic 'Operation Failed' error.","Account/Access","Security & Access","Low"
363,"Spanning Tree Protocol blocked port","A critical uplink port on Switch SW-C01 is currently blocked by STP, causing a major segment of the network to be cut off.","Network","Networking","Critical"
364,"Database server cluster node failed","One of the nodes in the SQL Server high-availability cluster has failed and cannot be brought back online. Cluster resilience is compromised.","Database","Database Ops","Critical"
365,"Web application displaying garbled text","The main internal web application is displaying incorrect or garbled text characters (mojibake) in all fields. Likely a character encoding issue.","Software","Application Support","Medium"
366,"Desktop PC won't recognize external drive","My desktop PC is failing to recognize any external hard drive connected via USB 3.0. USB flash drives work fine.","Hardware","Desktop Support","Low"
367,"Need access to internal API endpoint","The new integration service requires API key access to the `Inventory` data endpoint. Need to provision the key and set permissions.","Account/Access","Security & Access","Low"
368,"Frequent disconnects in manufacturing facility","The wireless and wired connections in the manufacturing facility are highly unstable, disconnecting devices several times per hour.","Network","Networking","High"
369,"Corrupted database backup file","The latest full backup file is reporting as corrupted when attempting a test restore. Urgent new full backup and integrity check needed.","Database","Database Ops","High"
370,"Visual Studio error when building project","When I attempt to build my C# project in Visual Studio, I get hundreds of obscure compiler errors that did not exist before the last update.","Software","Application Support","Medium"
371,"Laptop fan making clicking noise","The fan in my laptop is making a constant, rhythmic clicking noise, indicating a potential bearing or obstruction issue.","Hardware","Desktop Support","Low"
372,"Bulk password reset for all users","A mandatory company-wide bulk password reset is required due to a major security incident. All users must be forced to change their password immediately.","Account/Access","Security & Access","Critical"
373,"Main router CPU overloading","The CPU on the main distribution router is consistently running at 100%, causing significant latency and packet loss across the network.","Network","Networking","Critical"
374,"Excessive index fragmentation","Several large database tables are reporting over 95% index fragmentation. This is severely degrading query performance. Maintenance needed.","Database","Database Ops","Medium"
375,"Cisco Webex client constant crash","The Cisco Webex desktop client crashes every 10 minutes, making it impossible to participate in long meetings.","Software","Application Support","Low"
376,"Broken DVD/CD drive on desktop","The physical eject button on the desktop's DVD/CD drive is stuck, and the drive cannot be opened.","Hardware","Desktop Support","Low"
377,"User needs temporary access to executive mailbox","User J. Miller needs delegated temporary access to the CEO's calendar and mailbox for 5 days to manage an event schedule.","Account/Access","Security & Access","High"
378,"Traffic not routing between two sites","Traffic between Site A and Site B suddenly stopped routing. Ping attempts fail. Possible firewall or core router configuration error.","Network","Networking","High"
379,"Automated database clean-up job failed","The nightly job that purges old log entries from the database failed with a permission error on the service account.","Database","Database Ops","Low"
380,"Outlook not connecting to server","Outlook desktop application shows 'Disconnected' status and cannot connect to the Exchange server. All other network services work fine.","Software","Application Support","Medium"
381,"Laptop hinge completely snapped","The laptop hinge assembly has completely snapped on one side. The screen is barely attached to the body. Urgent replacement needed.","Hardware","Desktop Support","Critical"
382,"User MFA token out of sync","User P. Smith's TOTP token on her mobile phone is out of sync with the server, causing all MFA logins to fail. Needs immediate resync.","Account/Access","Security & Access","Medium"
383,"Inconsistent latency on fiber link","The latency on the dedicated fiber link to the secondary DC is highly inconsistent, jumping from 5ms to 100ms randomly. Hardware or media issue suspected.","Network","Networking","High"
384,"Missing records after nightly migration","Hundreds of records that were processed through the nightly data migration are missing from the destination table. Data loss investigation required.","Database","Database Ops","Critical"
385,"Windows update loop issue","My laptop is stuck in a loop where it attempts a Windows update, fails, restarts, attempts again, and fails repeatedly. I cannot use the device.","Software","Application Support","High"
386,"Monitor has permanent burn-in","My monitor has noticeable permanent burn-in ghosting from a previous application window that remains visible even when the screen is dark.","Hardware","Desktop Support","Medium"
387,"New user account creation failure","Attempting to create a new user account (K. Brown) in Active Directory fails with a 'constraint violation' error.","Account/Access","Security & Access","Low"
388,"Network interface down on critical server","The primary network interface (NIC) on the core email server is showing as physically down. Email services are offline.","Network","Networking","Critical"
389,"Database server restart required for configuration change","Need to schedule and perform a restart of the production database server to apply a recent OS kernel parameter change.","Database","Database Ops","Medium"
390,"Microsoft Teams file download blocked","I am unable to download any files from Microsoft Teams channels. The download progress immediately fails with a 'Network Error'.","Software","Application Support","Low"
391,"Scanner glass is cracked","The glass surface on the flatbed scanner is cracked, causing a black line to appear on all scanned documents. Need replacement glass or unit.","Hardware","Desktop Support","Low"
392,"Need to disable old external user accounts","We have 50 external vendor accounts (Vendor_01 to Vendor_50) that need to be disabled immediately as their contract ended.","Account/Access","Security & Access","Low"
393,"Misconfigured switch port speed","A critical switch port connected to a high-speed storage array is incorrectly configured to 100Mbps Full Duplex instead of 1Gbps. Slowing down storage access.","Network","Networking","Medium"
394,"Application reporting service cannot connect to DB","The application service account is suddenly unable to connect to the database. Logs show a 'Connection Refused' error. Service is down.","Database","Database Ops","High"
395,"Salesforce API integration suddenly failing","The API integration that syncs data from our ERP to Salesforce is failing with an unknown authentication error since this morning.","Software","Application Support","Critical"
396,"Mouse sensor erratic movement","The mouse pointer jumps randomly across the screen, making it difficult to click small buttons. The mousepad is clean.","Hardware","Desktop Support","Low"
397,"Need audit of all service accounts","Requesting a full audit of all service accounts to check password age, privileges, and owner for compliance reporting.","Account/Access","Security & Access","High"
398,"DDoS attack detected on web servers","Security alerts confirm a major Distributed Denial of Service (DDoS) attack targeting our public web servers. Urgent mitigation required.","Network","Networking","Critical"
399,"Unusually high number of active database connections","The number of active connections to the production database is 5x the normal peak. Connection pool exhaustion is imminent.","Database","Database Ops","High"
400,"PowerPoint won't open any files","PowerPoint application launches, but attempting to open any existing PPTX file results in an instant crash.","Software","Application Support","Medium"
401,"Physical damage to network rack equipment","An accidental incident caused physical damage to the equipment in Rack E in the server room. Devices are potentially offline. Urgent physical inspection.","Hardware","Desktop Support","Critical"
402,"Request for shared drive deletion","The `Old_HR_Data` shared drive is no longer needed and contains sensitive data. Requesting permanent deletion and confirmation.","Account/Access","Security & Access","Low"
403,"Subnet routing issue in new facility","The new subnet assigned to the recently opened satellite office cannot route to the main internal network resources.","Network","Networking","High"
404,"Database memory leak suspected","The database process continually consumes more and more RAM until the server runs out of memory and crashes. Need memory leak analysis.","Database","Database Ops","High"
405,"Outlook search folder not updating","The contents of a custom Outlook Search Folder are not updating automatically when new emails arrive. Manual refresh is required.","Software","Application Support","Low"
406,"Dead pixel cluster on monitor","A cluster of 5-6 dead pixels has appeared near the top edge of my screen. While small, it's very distracting.","Hardware","Desktop Support","Low"
407,"Need to change user's security token","User B. Jones requires a new hardware security token because their current one is lost/damaged.","Account/Access","Security & Access","Medium"
408,"External DNS propagation failure","A change to the external DNS records yesterday has not propagated correctly to all major DNS providers, causing intermittent website access issues globally.","Network","Networking","High"
409,"Database server high CPU due to malicious query","A query with high resource utilization is hammering the production database CPU. Need to identify the query and kill the session.","Database","Database Ops","Critical"
410,"Legacy application license expired","The license for the old 'CAD Design Tool' expired yesterday. The application is now unusable for the engineers.","Software","Application Support","High"
411,"Failing UPS battery replacement","The battery in the main server room UPS is reporting end-of-life status. Need to schedule an urgent battery replacement.","Hardware","Desktop Support","High"
412,"Need to provision a group of 5 users","We need to create five new user accounts (M. Chen, J. Singh, etc.) and add them to the standard 'Employee' group. Details in attached spreadsheet.","Account/Access","Security & Access","Low"
413,"Intermittent packet loss on gateway","The main corporate internet gateway is intermittently dropping packets (around 5% loss) to external destinations. Affects all external communication.","Network","Networking","Medium"
414,"Database server cluster split-brain scenario","The two nodes of the database cluster have entered a split-brain state, with both nodes believing they are the primary. Immediate manual intervention needed.","Database","Database Ops","Critical"
415,"Microsoft Teams app not logging in","The desktop application for Microsoft Teams is failing to log in any user. It gets stuck on the 'Loading' screen indefinitely.","Software","Application Support","Medium"
416,"Faulty power adapter for desktop monitor","My secondary monitor's power adapter failed, and the monitor will not turn on. Need a replacement adapter.","Hardware","Desktop Support","Low"
417,"User account compromised - high priority","Security team reports that user J. Doe's account credentials have been compromised and are being actively used for malicious activity. Urgent account lock/reset required.","Account/Access","Security & Access","Critical"
418,"Core routing misconfiguration","A recent routing change on the core router has led to traffic being incorrectly looped, causing high network traffic and latency spikes.","Network","Networking","Critical"
419,"Audit logs missing for specific database","The audit logging feature for the 'Compliance' database has been disabled or failed to record events for the past month. Regulatory risk.","Database","Database Ops","High"
420,"Custom finance reporting tool not generating graphs","The custom tool used for financial charting and reporting is failing to generate any graphs; only raw data is displayed.","Software","Application Support","Medium"
421,"Broken key on numeric keypad","The 'Enter' key on the numeric keypad portion of my keyboard is physically broken and not registering clicks.","Hardware","Desktop Support","Low"
422,"Need access to production VM via jump server","Requesting temporary RDP access to the production jump server to perform an emergency patch on a critical application server.","Account/Access","Security & Access","High"
423,"VPN tunnel capacity exceeded","The remote access VPN tunnel is consistently hitting its maximum user limit during business hours. New users are being rejected. Need capacity increase.","Network","Networking","High"
424,"Database index rebuild failed due to space","The scheduled nightly index rebuild job failed on the largest table because the temporary sort space exceeded available disk space.","Database","Database Ops","Medium"
425,"Word document unable to open from network share","I cannot open any Microsoft Word documents directly from the shared network drive. I can open them if I copy them locally first.","Software","Application Support","Low"
426,"Headset cable frayed and exposed","The cable on my wired headset is heavily frayed near the USB connector. Safety concern, replacement needed.","Hardware","Desktop Support","Low"
427,"Request to change user's UPN suffix","User A. Smith's User Principal Name (UPN) needs to be changed from `@olddomain.com` to `@newdomain.com` for the corporate merger.","Account/Access","Security & Access","Medium"
428,"PoE switch failure on multiple ports","A core Power over Ethernet (PoE) switch is failing to deliver power on 10 of its ports, causing multiple phones and cameras to go offline.","Network","Networking","High"
429,"Database server showing high page life expectancy drop","Database performance monitoring shows a sudden and continuous drop in Page Life Expectancy (PLE), indicating severe memory pressure.","Database","Database Ops","High"
